tag,aega_min,aega_max,aega_step,pc,pm_high,pm_low,sbx_eta_rw,pm_eta_rw,hv,igd,wall_s,cpu_s
aega_180_260_20_pc0.98_pm0.45_0.08_rw1.5_3,180,260,20,0.98,0.45,0.08,1.5,3,0.499665,0.323978,0.654,0.650
aega_180_260_20_pc0.98_pm0.45_0.08_rw1.5_5,180,260,20,0.98,0.45,0.08,1.5,5,0.703487,0.222267,0.679,0.659
aega_180_260_20_pc0.98_pm0.45_0.08_rw1.5_8,180,260,20,0.98,0.45,0.08,1.5,8,0.719644,0.210705,0.643,0.639
aega_180_260_20_pc0.98_pm0.45_0.08_rw2.0_3,180,260,20,0.98,0.45,0.08,2.0,3,0.561196,0.349635,0.714,0.690
aega_180_260_20_pc0.98_pm0.45_0.08_rw2.0_5,180,260,20,0.98,0.45,0.08,2.0,5,0.702667,0.222607,0.675,0.668
aega_180_260_20_pc0.98_pm0.45_0.08_rw2.0_8,180,260,20,0.98,0.45,0.08,2.0,8,0.260689,0.581308,0.607,0.603
aega_180_260_20_pc0.98_pm0.45_0.08_rw2.5_3,180,260,20,0.98,0.45,0.08,2.5,3,0.178103,0.674682,0.602,0.592
aega_180_260_20_pc0.98_pm0.45_0.08_rw2.5_5,180,260,20,0.98,0.45,0.08,2.5,5,0.338936,0.517863,0.594,0.591
aega_180_260_20_pc0.98_pm0.45_0.08_rw2.5_8,180,260,20,0.98,0.45,0.08,2.5,8,0.558502,0.356224,0.634,0.631
aega_180_260_20_pc0.98_pm0.45_0.08_rw3.0_3,180,260,20,0.98,0.45,0.08,3.0,3,0.702391,0.222735,0.681,0.651
aega_180_260_20_pc0.98_pm0.45_0.08_rw3.0_5,180,260,20,0.98,0.45,0.08,3.0,5,0.701083,0.224024,0.706,0.693
aega_180_260_20_pc0.98_pm0.45_0.08_rw3.0_8,180,260,20,0.98,0.45,0.08,3.0,8,0.564625,0.346981,0.696,0.677
aega_180_260_20_pc0.98_pm0.45_0.10_rw1.5_3,180,260,20,0.98,0.45,0.10,1.5,3,0.275109,0.566423,0.621,0.612
aega_180_260_20_pc0.98_pm0.45_0.10_rw1.5_5,180,260,20,0.98,0.45,0.10,1.5,5,0.697278,0.226646,0.719,0.709
